depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,2,0.001,5,10708,9.286511211e-07,1.746027765e-06,2.9591577945e-06,1.7810656046e-06,0,20,5307,97,1
5,2,0.1,5,10721,1.99925461243e-05,4.77754162162e-05,9.47527401226e-05,4.99217177372e-05,0,20,5625,36,1
5,2,0.0,8,14722,4.30112e-11,8.91141e-10,2.363152e-09,1.028382e-09,0,20,10284,244,1
5,2,1e-07,8,13588,3.76775e-11,8.845421e-10,2.349807e-09,1.0216349e-09,0,20,10272,244,1
5,2,1e-05,8,13405,1.4235198e-09,2.8798907e-09,4.3658679e-09,2.9246972e-09,0,20,10634,243,1
5,2,0.001,8,12432,6.55362e-11,5.7756388e-09,2.31319405e-08,7.6437667e-09,0,20,10896,127,1
5,2,0.1,8,11315,3.83362009e-08,2.3545428616e-06,4.0117564742e-06,2.6257934573e-06,0,20,10902,49,1
5,1,0.0,7,12501,2.36297e-11,4.4511278e-09,1.96636642e-08,5.7398882e-09,0,20,5962,148,1
5,1,1e-07,7,12196,4.20899e-11,4.4471131e-09,1.96728456e-08,5.7381702e-09,0,20,5995,148,1
5,1,1e-05,7,11864,1.50515e-11,4.3808516e-09,2.27522241e-08,6.4708928e-09,0,20,6187,148,1
5,1,0.001,7,11254,3.999313042e-07,5.665454669e-07,7.400644047e-07,5.691499503e-07,0,20,6590,116,1
5,1,0.1,7,10916,8.2378253e-09,4.3000908752e-06,2.02531763464e-05,5.3795431037e-06,0,20,6968,39,1
5,2,0.0,10,19786,4.0422e-12,1.43493e-11,3.3066e-11,1.55979e-11,0,20,23725,364,1
5,2,1e-07,10,15872,8.9901e-12,2.14334e-11,4.39283e-11,2.2851e-11,0,20,25790,364,1
5,2,1e-05,10,15043,1.4914222e-09,2.957969e-09,5.0253339e-09,3.0368874e-09,0,20,24096,268,1
5,2,0.001,10,13433,2.36332997e-08,3.81705898e-08,5.14021338e-08,3.89665883e-08,0,20,23473,136,1
5,2,0.1,10,12238,3.6986125e-09,1.4473338895e-06,4.3103967997e-06,1.6699570028e-06,0,20,23559,50,1
5,0,0.0,10,15581,7.172e-13,2.694476e-10,1.3966988e-09,3.50059e-10,0,10,9500,244,1
5,0,1e-07,10,14404,3.4545e-12,2.69997e-10,1.4008923e-09,3.510655e-10,0,10,9680,244,1
5,0,1e-05,10,14101,1.3120882e-09,3.2049007e-09,6.3122705e-09,3.3532739e-09,0,10,10678,244,1
5,0,0.001,10,12749,5.7536829e-09,2.07094087e-08,3.23232849e-08,2.11819312e-08,0,10,10215,130,1
5,0,0.1,10,11822,6.70335902e-08,1.440298984e-06,4.0272125904e-06,1.6546386366e-06,0,10,10009,50,1
6,2,0.0,3,5253,1.46704316908e-05,2.8775779101e-05,4.13875608971e-05,2.99392053059e-05,0,20,10749,25,1
6,2,1e-07,3,5188,1.46704449031e-05,2.87757826755e-05,4.13875452299e-05,2.99392064825e-05,0,20,10647,25,1
6,2,1e-05,3,5014,1.46411930616e-05,2.87689834359e-05,4.14234130563e-05,2.99377662929e-05,0,20,11552,25,1
6,2,0.001,3,4404,1.74784599076e-05,2.96384737031e-05,4.02864621811e-05,3.04430787918e-05,0,20,11440,25,1
6,2,0.1,3,4141,0.0003903325999447,0.0004235405426272,0.0004493745064474,0.0004241292297829,0,20,11763,25,1
5,1,0.0,8,13662,3.3919143e-09,7.272002e-09,1.11156821e-08,7.4196598e-09,0,5,7651,193,1
5,1,1e-07,8,12762,3.3863366e-09,7.2653635e-09,1.11023689e-08,7.4127371e-09,0,5,7691,193,1
5,1,1e-05,8,12449,2.812407e-10,4.1992804e-09,7.0732567e-09,4.3535743e-09,0,5,7844,193,1
5,1,0.001,8,11777,6.5784947e-09,1.86087583e-08,3.17709922e-08,1.91165934e-08,0,5,8600,125,1
5,1,0.1,8,11237,1.46055221e-08,5.4265667502e-06,1.47026657415e-05,6.2192942234e-06,0,5,8585,48,1
5,0,0.0,3,9742,1.0476875079e-06,0.0002015474684677,0.0004872148079438,0.000237828821869,0,20,4114,13,1
5,0,1e-07,3,9674,1.0476875082e-06,0.0002015474684678,0.000487214807944,0.0002378288218691,0,20,3894,13,1
5,0,1e-05,3,9723,1.0465102413e-06,0.0002015467628883,0.0004872140165617,0.000237828079309,0,20,3969,13,1
5,0,0.001,3,9613,7.328026114e-07,0.0002013491462244,0.0004869713432426,0.0002376181206567,0,20,4023,13,1
5,0,0.1,3,9543,0.0008812274156978,0.0011874633196459,0.0013611065294957,0.001191975251294,0,20,4699,13,1
5,0,0.0,9,14201,1.17073e-10,4.2796568e-09,8.7946582e-09,4.7404982e-09,0,20,7405,193,1
5,0,1e-07,9,13756,1.124061e-10,4.2735921e-09,8.7866257e-09,4.7347372e-09,0,20,7399,193,1
5,0,1e-05,9,12895,6.911e-13,1.7748392e-09,5.1922558e-09,2.1390493e-09,0,20,7927,193,1
